OBJECTID_1;FID_new;max;sum;vuosi;Id
;5723;1;54;2015;0
;5723;1;81;2018;0
;5723;1;209;2020;0
;5722;1;1882;2012;0
;5722;1;2159;2020;0
;5721;1;5337;2012;0
;5721;1;5880;2020;0
;5720;1;10581;2009;0
;5720;1;11575;2014;0
;5720;1;10843;2016;0
;5719;;;2009;0
;5719;1;10968;2014;0
;5719;1;10603;2016;0
;5718;1;573;2014;0
;5717;1;145;2011;0
;5717;1;284;2017;0
;5717;1;272;2021;0
;5716;1;12471;2011;0
;5716;1;14660;2017;0
;5716;1;13366;2021;0
;5715;1;3994;2011;0
;5715;1;3812;2012;0
;5714;1;1488;2011;0
;5714;1;1640;2012;0
;5713;1;4704;2011;0
;5713;1;5105;2016;0
;5712;1;13255;2015;0
;5712;1;12980;2018;0
;5712;1;11761;2020;0
;5712;1;13063;2021;0
;5711;1;612;2011;0
;5711;1;437;2019;0
;5710;1;5282;2011;0
;5710;1;3273;2019;0
;5709;1;11465;2011;0
;5709;1;10614;2019;0
;5708;1;2855;2011;0
;5708;1;4143;2019;0
;5707;1;1615;2011;0
;5707;1;1735;2019;0
;5706;1;3902;2012;0
;5706;;;2019;0
;5705;1;127;2010;0
;5705;1;1162;2012;0
;5705;;;2020;0
;5705;1;1414;2021;0
;5705;1;1254;2014;0
;5704;1;1188;2012;0
;5704;1;742;2014;0
;5704;1;1238;2014;0
;5704;;;2020;0
;5703;1;658;2010;0
;5703;1;7325;2012;0
;5703;1;4076;2014;0
;5703;;;2017;0
;5703;1;7326;2020;0
;5703;1;1189;2014;0
;5702;1;5609;2014;0
;5702;;;2020;0
;5702;;;2021;0
;5701;1;1601;2014;0
;5701;;;2020;0
;5701;;;2021;0
;5700;1;10681;2017;0
;5700;;;2020;0
;5699;1;1482;2014;0
;5699;;;2017;0
;5698;1;26;2012;0
;5698;1;531;2020;0
;5697;1;185;2012;0
;5697;1;244;2020;0
;5697;1;3174;2012;0
;5697;1;4774;2020;0
;5696;1;3948;2014;0
;5695;1;7123;2012;0
;5695;1;4192;2020;0
;5694;1;16026;2010;0
;5694;1;17889;2015;0
;5693;1;4620;2015;0
;5693;1;3692;2021;0
;5692;1;14783;2009;0
;5692;1;12633;2018;0
;5691;1;11305;2011;0
;5691;1;12961;2013;0
;5691;1;13339;2018;0
;5690;1;3608;2011;0
;5690;1;3353;2013;0
;5690;1;2933;2018;0
;5690;;;2018;0
;5689;1;221;2012;0
;5689;1;270;2015;0
;5689;1;303;2016;0
;5689;1;268;2017;0
;5689;1;258;2018;0
;5689;1;332;2020;0
;5688;1;2131;2011;0
;5688;1;2080;2017;0
;5688;1;2139;2020;0
;5687;;;2010;0
;5687;1;10;2015;0
;5687;1;3;2018;0
;5687;1;2;2008;0
;5686;1;2136;2008;0
;5686;1;5859;2010;0
;5686;1;8098;2015;0
;5686;1;7766;2018;0
;5685;1;3423;2015;0
;5685;1;4620;2020;0
;5684;1;533;2015;0
;5684;1;622;2020;0
;5683;;;2013;0
;5683;1;1784;2015;0
;5683;1;3146;2019;0
;5683;;;2020;0
;5682;1;1477;2015;0
;5682;1;2955;2020;0
;5681;1;579;2011;0
;5681;1;2465;2013;0
;5681;;;2015;0
;5681;1;3186;2019;0
;5680;1;1663;2012;0
;5680;1;1990;2015;0
;5680;1;2251;2019;0
;5679;1;1533;2011;0
;5679;;;2013;0
;5679;1;6360;2019;0
;5678;1;2262;2011;0
;5678;1;15717;2019;0
;5678;;;2020;0
;5677;1;141;2011;0
;5677;1;458;2020;0
;5677;1;1389;2011;0
;5677;1;9414;2019;0
