OBJECTID_1;FID_new;max;sum;vuosi
4188001;1895;1;8705;2012
4188001;1895;1;1205;2016
4188001;1895;1;1232;2020
4187000;1894;1;1133;2012
4187000;1894;1;1652;2016
4187000;1894;1;764;2020
4186824;1893;1;541;2012
4186824;1893;1;667;2016
4186824;1893;1;436;2020
4186822;1892;1;3;2012
4186822;1892;1;4;2016
4186822;1892;;;2020
4186497;1891;1;2850;2012
4186497;1891;1;3229;2016
4186497;1891;1;497;2020
4184451;1890;1;3305;2012
4184451;1890;1;3394;2016
4184451;1890;1;686;2020
4176010;1889;1;1003;2012
4176010;1889;1;949;2016
4176010;1889;1;961;2020
4176004;1888;1;681;2012
4176004;1888;1;230;2016
4176004;1888;1;139;2020
4172981;1887;1;552;2012
4172981;1887;1;1097;2016
4172981;1887;;;2020
4162203;1886;1;461;2012
4162203;1886;1;722;2016
4162203;1886;1;157;2020
4133386;1885;1;1153;2012
4133386;1885;1;1276;2016
4133386;1885;1;522;2020
4125441;1884;1;1067;2010
4125441;1884;1;1057;2013
4125433;1883;1;2904;2010
4125433;1883;1;2922;2013
4125433;1883;;;2020
4118174;1882;1;1977;2012
4118174;1882;1;468;2016
4117936;1881;1;12;2012
4117936;1881;1;7;2016
4116956;1880;1;7150;2012
4116956;1880;1;3910;2016
4113783;1879;1;1458;2012
4113783;1879;1;1362;2016
4106589;1878;1;806;2010
4106589;1878;1;300;2016
4106589;1878;1;306;2019
4101746;1877;1;2212;2010
4101746;1877;1;2224;2011
4101746;1877;1;495;2016
4086405;1876;1;4363;2012
4086405;1876;1;5610;2016
4086222;1875;1;1149;2012
4086222;1875;1;347;2016
4086177;1874;1;259;2012
4086177;1874;1;216;2016
4083788;1873;1;1535;2012
4083788;1873;1;1716;2016
4080075;1872;1;1339;2010
4080075;1872;1;1456;2011
4044618;1871;1;274;2011
4044618;1871;1;796;2020
4038771;1870;1;633;2011
4038771;1870;1;2832;2013
4038771;1870;1;868;2019
4038771;1870;1;863;2020
4037396;1869;1;693;2011
4037396;1869;1;594;2020
4036371;1868;1;380;2011
4036371;1868;1;1458;2013
4036371;1868;1;101;2020
4035715;1867;1;2067;2010
4035715;1867;1;2070;2013
4035715;1867;;;2018
4035713;1866;1;6803;2010
4035713;1866;1;6894;2013
4035713;1866;;;2018
4007674;1865;1;325;2011
4007674;1865;1;381;2020
4007674;1865;1;1312;2018
4007315;1864;1;595;2011
4007315;1864;;;2013
4007315;1864;1;1694;2020
4007311;1863;1;9;2011
4007311;1863;;;2013
4007311;1863;1;2;2020
4007197;1862;1;166;2011
4007197;1862;;;2013
4007197;1862;1;756;2020
4007161;1861;1;574;2011
4007161;1861;;;2013
4007161;1861;1;1476;2020
4007149;1860;1;1313;2011
4007149;1860;;;2013
4007149;1860;1;482;2020
4006552;1859;1;111;2011
4006552;1859;;;2013
4006552;1859;1;374;2020
4006551;1858;1;137;2011
4006551;1858;;;2013
4006551;1858;1;600;2020
4006546;1857;1;25;2011
4006546;1857;;;2013
4006546;1857;1;120;2020
4006522;1856;1;715;2011
4006522;1856;;;2013
4006522;1856;1;343;2020
4006521;1855;1;59;2011
4006521;1855;;;2013
4006521;1855;;;2020
4005243;1854;1;2761;2011
4005243;1854;1;7830;2020
4005242;1853;1;2363;2011
4005242;1853;1;7783;2020
4004649;1852;1;478;2010
4004649;1852;1;485;2013
4003879;1851;1;1095;2010
4003879;1851;1;1113;2013
4003519;1850;1;1646;2010
4003519;1850;1;1625;2013
4001429;1849;1;57;2011
4001429;1849;1;203;2020
4000768;1848;1;1009;2011
4000768;1848;1;2159;2020
4000334;1847;1;19;2011
4000334;1847;1;1042;2020
3999941;1846;1;629;2011
3999941;1846;1;489;2020
3999913;1845;1;320;2011
3999913;1845;;;2013
3999913;1845;1;462;2020
3999232;1844;1;208;2011
3999232;1844;1;513;2020
3999114;1843;1;30;2011
3999114;1843;1;101;2020
3999091;1842;1;4;2011
3999091;1842;1;3;2019
3999091;1842;1;3;2020
3999043;1841;1;640;2011
3999043;1841;1;1648;2019
3999043;1841;1;1704;2020
3999023;1840;1;253;2011
3999023;1840;1;331;2019
3999023;1840;1;331;2020
3998919;1839;1;303;2011
3998919;1839;1;1012;2019
3998919;1839;1;1010;2020
3998192;1838;1;801;2011
3998192;1838;1;1428;2019
3998192;1838;1;1496;2020
3995199;1837;1;188;2011
3995199;1837;1;702;2019
3995199;1837;;;2020
3993778;1836;1;1084;2011
3993778;1836;1;2978;2019
3993778;1836;;;2020
3990361;1835;1;560;2011
3990361;1835;;;2013
3990361;1835;1;1197;2019
3988654;1834;1;93;2010
3988654;1834;1;88;2013
3988400;1833;1;340;2011
3988400;1833;1;3;2019
3988400;1833;1;5;2020
3988399;1832;1;205;2011
3988399;1832;1;22;2019
3988399;1832;1;24;2020
3988397;1831;1;717;2011
3988397;1831;1;1411;2019
3988397;1831;1;1502;2020
