max_total;sum_total;vuosi;ASTA_ID
;;2015;7291
;;2015;70
;;2015;7290
;;2015;62
;;2015;66
;;2015;61
;;2015;67
;;2015;69
1;646;2018;7291
;;2018;70
1;550;2018;7290
1;4;2018;62
;;2018;66
1;1215;2018;61
;;2018;67
;;2018;69
1;728;2019;7291
1;18849;2019;70
1;550;2019;7290
1;4;2019;62
1;7782;2019;66
1;1213;2019;61
1;7782;2019;67
1;18849;2019;69
1;10334;2012;64
1;10334;2012;63
1;10558;2013;64
1;10558;2013;63
1;9651;2018;64
1;9651;2018;63
1;10845;2019;64
1;10845;2019;63
1;12126;2014;68
1;10529;2014;65
1;12064;2015;68
1;10398;2015;65
1;11920;2019;68
1;10382;2019;65
;;2021;68
;;2021;65
1;12348;2008;72
1;1667;2008;71
1;12294;2018;72
1;1732;2018;71
1;12344;2021;72
1;1725;2021;71
1;3813;2009;76
1;133;2009;75
1;4125;2009;74
1;5800;2009;73
1;3809;2013;76
1;133;2013;75
1;4216;2013;74
1;5795;2013;73
1;3799;2021;76
1;133;2021;75
1;4247;2021;74
1;5815;2021;73
1;3281;2009;78
1;954;2009;77
1;3443;2013;78
1;965;2013;77
1;3426;2021;78
1;965;2021;77
1;934;2009;79
1;944;2018;79
1;944;2021;79
1;1057;2009;81
1;743;2009;80
1;1059;2013;81
1;750;2013;80
1;1058;2021;81
1;750;2021;80
1;2917;2009;87
1;2917;2009;86
1;613;2009;82
1;2917;2009;85
1;613;2009;84
1;613;2009;83
1;2992;2018;87
1;2992;2018;86
1;605;2018;82
1;2992;2018;85
1;605;2018;84
1;605;2018;83
1;3012;2021;87
1;3012;2021;86
1;626;2021;82
1;3012;2021;85
1;626;2021;84
1;626;2021;83
1;925;2009;93
1;15834;2009;88
1;946;2013;93
1;15962;2013;88
1;940;2021;93
1;15970;2021;88
1;1851;2009;99
1;1520;2009;89
1;1520;2009;90
1;1869;2013;99
1;1594;2013;89
1;1594;2013;90
;;2018;99
;;2018;89
;;2018;90
1;1882;2021;99
1;1598;2021;89
1;1598;2021;90
1;2123;2009;94
1;6161;2009;92
1;2164;2018;94
1;6117;2018;92
1;1315;2009;95
;;2010;95
1;1251;2018;95
1;1243;2021;95
1;9901;2009;7296
1;5397;2009;96
1;9763;2018;7296
1;5038;2018;96
;;2021;7296
;;2021;96
;;2009;100
;;2010;102
;;2010;101
1;2248;2010;100
1;13277;2012;102
1;13277;2012;101
1;3609;2012;100
1;13655;2013;102
1;13655;2013;101
1;2968;2013;100
1;13735;2021;102
1;13735;2021;101
1;3227;2021;100
1;9332;2009;103
;;2010;103
1;9603;2018;103
1;9619;2021;103
1;12670;2009;7299
1;1887;2009;104
1;12670;2009;7298
1;3835;2009;105
1;13110;2018;7299
1;1929;2018;104
1;13110;2018;7298
1;3834;2018;105
1;13080;2021;7299
1;1924;2021;104
1;13080;2021;7298
1;3851;2021;105
1;1165;2009;107
1;4470;2009;106
1;1155;2018;107
1;4603;2018;106
1;1088;2021;107
1;4586;2021;106
1;4556;2009;118
1;2605;2009;107
1;4467;2018;118
1;2606;2018;107
;;2021;118
1;2584;2021;107
1;4095;2009;7305
1;2899;2009;108
1;4095;2009;7304
1;4999;2009;7300
1;1968;2009;7302
1;1969;2009;122
1;10712;2009;124
1;1968;2009;7303
1;10712;2009;125
1;1969;2009;123
1;1968;2009;7301
1;4117;2018;7305
1;2803;2018;108
1;4117;2018;7304
1;5152;2018;7300
1;1915;2018;7302
1;2074;2018;122
1;11225;2018;124
1;1915;2018;7303
1;11225;2018;125
1;2074;2018;123
1;1915;2018;7301
;;2021;7305
;;2021;108
;;2021;7304
1;2871;2021;7300
;;2021;7302
;;2021;122
;;2021;124
;;2021;7303
;;2021;125
;;2021;123
;;2021;7301
1;3775;2009;120
1;7231;2009;111
1;7231;2009;112
1;7872;2009;109
1;6895;2009;113
1;501;2009;119
1;7657;2009;116
1;7872;2009;110
1;6895;2009;114
1;7657;2009;117
1;3749;2010;120
1;7203;2010;111
1;7203;2010;112
1;7806;2010;109
1;6762;2010;113
1;500;2010;119
1;7598;2010;116
1;7806;2010;110
1;6762;2010;114
1;7598;2010;117
1;3763;2018;120
1;7160;2018;111
1;7160;2018;112
1;7725;2018;109
1;6769;2018;113
1;502;2018;119
1;7661;2018;116
1;7725;2018;110
1;6769;2018;114
1;7661;2018;117
1;9655;2010;126
;;2010;115
1;9534;2012;126
1;20;2012;115
1;9610;2013;126
1;20;2013;115
;;2021;126
;;2021;115
1;1967;2009;121
1;1965;2018;121
;;2021;121
1;10884;2010;125
1;2008;2010;122
1;10884;2010;124
1;2008;2010;123
1;1739;2010;137
1;117;2010;135
1;9339;2010;127
1;9327;2012;127
1;1769;2013;137
1;118;2013;135
1;9316;2013;127
;;2018;137
;;2018;135
;;2018;127
1;3288;2010;129
1;2001;2010;128
1;13062;2012;129
1;2369;2012;128
1;13243;2013;129
1;2370;2013;128
;;2020;129
;;2020;128
1;4836;2010;7306
1;5117;2010;140
1;9501;2010;130
1;10140;2010;139
;;2012;7306
;;2012;140
1;9758;2012;130
;;2012;139
1;4866;2013;7306
1;5051;2013;140
1;9596;2013;130
1;10190;2013;139
;;2018;7306
;;2018;140
;;2018;130
;;2018;139
1;7194;2010;142
1;7194;2010;141
1;5922;2010;131
1;4455;2010;134
1;5193;2010;136
1;1736;2010;132
1;4894;2015;134
1;1817;2015;132
1;6315;2015;131
1;7508;2018;142
1;7508;2018;141
1;6303;2018;131
1;4788;2018;134
1;5318;2018;136
1;1804;2018;132
1;3979;2010;133
1;3950;2018;133
;;2010;137
;;2010;135
1;7679;2015;142
1;5329;2015;136
1;7679;2015;141
1;3881;2010;138
1;4039;2018;138
;;2010;140
;;2010;139
1;2261;2010;7307
1;5727;2010;143
1;17197;2010;156
1;2255;2018;7307
1;5711;2018;143
1;17345;2018;156
1;12903;2010;146
1;12903;2010;144
1;12903;2010;145
1;12868;2012;146
1;12868;2012;144
1;12868;2012;145
;;2018;146
;;2018;144
;;2018;145
1;2677;2010;147
;;2010;147
1;2493;2015;147
1;2481;2018;147
1;5081;2010;151
1;3375;2010;148
1;5081;2010;150
1;3147;2015;148
1;5185;2018;151
1;3313;2018;148
1;5185;2018;150
1;14306;2010;149
1;2645;2010;149
1;14497;2018;149
1;2737;2018;149
1;1570;2015;151
1;1570;2015;150
1;3624;2015;151
1;3624;2015;150
1;22523;2010;155
1;22523;2010;154
1;7023;2010;153
1;9938;2010;152
1;7028;2015;153
1;9944;2015;152
1;22220;2018;155
1;22220;2018;154
1;7023;2018;153
1;9915;2018;152
1;22116;2015;155
1;22116;2015;154
;;2015;7307
1;16920;2015;156
1;3846;2010;158
1;3846;2010;157
1;3843;2019;158
1;3843;2019;157
1;1816;2008;159
;;2013;159
1;1897;2015;159
1;1898;2018;159
1;1869;2020;159
1;4854;2010;160
1;4856;2019;160
1;10573;2010;164
1;3780;2010;163
1;3780;2010;162
1;2756;2010;161
1;10932;2020;164
1;4023;2020;163
1;4023;2020;162
1;3029;2020;161
1;10999;2019;164
1;6057;2008;165
1;6806;2015;165
1;5945;2020;165
1;5728;2008;174
1;4566;2008;169
1;5378;2008;171
1;4566;2008;167
1;5378;2008;172
1;16799;2008;166
1;5378;2008;173
1;4566;2008;168
1;6134;2015;174
1;4837;2015;169
1;5518;2015;171
1;4837;2015;167
1;5518;2015;172
1;16916;2015;166
1;5518;2015;173
1;4837;2015;168
1;5797;2020;174
1;4820;2020;169
1;5447;2020;171
1;4820;2020;167
1;5447;2020;172
1;16354;2020;166
1;5447;2020;173
1;4820;2020;168
1;3065;2010;170
1;3071;2019;170
1;5017;2010;176
1;5017;2010;175
1;5130;2019;176
1;5130;2019;175
1;261;2008;7308
1;1093;2008;177
1;1048;2008;178
1;297;2015;7308
1;1099;2015;177
1;1055;2015;178
;;2020;7308
;;2020;177
;;2020;178
1;7181;2010;185
1;7181;2010;183
1;2218;2010;179
1;7181;2010;184
1;2218;2010;180
1;7458;2019;185
1;7458;2019;183
1;2291;2019;179
1;7458;2019;184
1;2291;2019;180
;;2020;185
;;2020;183
;;2020;179
;;2020;184
;;2020;180
1;4408;2009;189
1;1336;2009;182
1;26494;2009;188
1;865;2009;181
1;26494;2009;187
1;4472;2018;189
1;1336;2018;182
1;26472;2018;188
1;862;2018;181
1;26472;2018;187
1;4443;2019;189
1;1336;2019;182
1;26838;2019;188
1;865;2019;181
1;26838;2019;187
1;4879;2010;186
;;2020;186
1;335;2010;194
1;12310;2010;193
1;12310;2010;192
1;1752;2010;190
1;335;2019;194
1;12306;2019;193
1;12306;2019;192
1;1760;2019;190
1;263;2010;191
1;31;2010;191
1;265;2019;191
1;31;2019;191
;;2020;191
1;34294;2010;196
1;34294;2010;195
1;34783;2019;196
1;34783;2019;195
1;4793;2010;200
1;1035;2010;199
1;5032;2010;197
1;3912;2009;198
1;3833;2010;198
1;3962;2018;198
1;318;2009;202
1;4886;2009;201
1;246;2016;202
1;5000;2016;201
1;325;2018;202
1;4865;2018;201
1;15762;2010;204
1;15762;2010;203
1;15813;2015;204
1;15813;2015;203
1;11300;2010;206
1;11300;2010;205
1;11481;2016;206
1;11481;2016;205
1;4063;2010;224
1;6679;2010;218
1;24;2010;208
1;21172;2010;213
1;21172;2010;212
1;21172;2010;210
1;21172;2010;211
1;6679;2010;217
1;3859;2010;207
1;2339;2010;223
1;4110;2015;224
1;7444;2015;218
1;24;2015;208
1;22228;2015;213
1;22228;2015;212
1;22228;2015;210
1;22228;2015;211
1;7444;2015;217
1;3932;2015;207
1;2364;2015;223
1;4480;2010;209
1;4472;2016;209
1;977;2010;7310
1;14339;2010;221
1;1955;2010;215
1;1081;2010;214
1;14339;2010;220
1;977;2010;7309
1;736;2010;216
1;361;2010;219
1;1052;2016;7310
1;2113;2016;215
1;1112;2016;214
1;1052;2016;7309
1;743;2016;216
1;14318;2016;221
1;361;2016;219
1;14318;2016;220
1;9400;2009;222
1;9408;2016;222
1;9354;2018;222
1;4103;2016;224
1;2352;2016;223
1;9454;2010;7312
1;67;2010;225
1;9454;2010;7311
1;5308;2010;225
1;9635;2015;7312
1;67;2015;225
1;9635;2015;7311
1;5620;2015;225
1;67;2016;225
1;5470;2016;225
1;2989;2009;228
1;11186;2009;227
1;11186;2009;226
1;2965;2016;228
1;11059;2016;227
1;11059;2016;226
1;3043;2018;228
1;10079;2018;227
1;10079;2018;226
1;178;2010;251
1;1003;2010;232
1;1003;2010;234
1;2163;2010;241
1;1003;2010;233
1;1720;2010;238
1;3828;2010;249
1;1720;2010;239
1;1720;2010;237
1;3828;2010;248
1;2163;2010;244
1;1720;2010;236
1;1720;2010;240
1;1003;2010;235
1;3828;2010;247
1;64;2010;229
1;2163;2010;243
1;9152;2010;250
1;2163;2010;245
1;2163;2010;242
1;2163;2010;246
1;208;2010;230
1;169;2015;251
1;1038;2015;232
1;1038;2015;234
1;2237;2015;241
1;1038;2015;233
1;1780;2015;238
1;3924;2015;249
1;1780;2015;239
1;1780;2015;237
1;3924;2015;248
1;2237;2015;244
1;1780;2015;236
1;1780;2015;240
1;1038;2015;235
1;3924;2015;247
1;64;2015;229
1;2237;2015;243
1;9229;2015;250
1;2237;2015;245
1;2237;2015;242
1;2237;2015;246
1;221;2015;230
1;161;2016;251
1;1037;2016;232
1;1037;2016;234
1;2210;2016;241
1;1037;2016;233
1;1770;2016;238
1;3875;2016;249
1;1770;2016;239
1;1770;2016;237
1;3875;2016;248
1;2210;2016;244
1;1770;2016;236
1;1770;2016;240
1;1037;2016;235
1;3875;2016;247
1;64;2016;229
1;2210;2016;243
1;9208;2016;250
1;2210;2016;245
1;2210;2016;242
1;2210;2016;246
1;221;2016;230
1;4477;2008;265
1;14621;2008;231
1;1849;2008;260
1;4477;2008;263
1;4477;2008;261
1;1168;2008;257
1;1849;2008;258
1;4477;2008;264
1;1849;2008;259
1;4477;2008;262
1;4476;2015;265
1;14712;2015;231
1;1847;2015;260
1;4476;2015;263
1;4476;2015;261
1;1168;2015;257
1;1847;2015;258
1;4476;2015;264
1;1847;2015;259
1;4476;2015;262
1;2447;2010;256
1;9825;2010;253
1;3227;2010;254
1;12240;2010;252
1;10012;2010;255
1;6489;2016;252
1;2424;2016;256
1;5914;2016;252
1;10202;2016;253
1;10011;2016;255
1;3309;2016;254
1;15950;2010;7314
1;2966;2010;255
1;15823;2016;7314
1;2998;2016;255
1;1036;2010;266
1;1094;2016;266
1;13475;2008;268
1;13475;2008;267
1;13412;2010;271
1;13666;2010;268
1;13666;2010;267
1;13542;2015;271
1;14047;2015;268
1;14047;2015;267
1;13244;2016;271
1;13985;2016;268
1;13985;2016;267
1;7800;2010;269
1;2213;2010;270
1;4172;2010;269
1;8003;2015;269
1;2235;2015;270
1;4424;2015;269
1;7833;2016;269
1;2191;2016;270
1;4286;2016;269
1;2965;2010;275
1;2103;2010;274
1;3682;2010;272
1;3049;2015;275
1;2128;2015;274
1;3985;2015;272
1;2417;2010;7315
1;318;2010;273
1;2427;2015;7315
1;334;2015;273
1;2446;2016;7315
1;313;2016;273
1;14553;2010;310
1;14553;2010;309
1;8859;2010;276
1;8445;2016;276
1;7533;2010;312
1;7533;2010;311
1;2502;2010;282
1;10503;2010;288
1;832;2010;308
1;761;2010;283
1;12261;2010;292
1;761;2010;285
1;761;2010;286
1;21945;2010;277
1;761;2010;284
1;7451;2010;289
1;2502;2010;281
1;9511;2010;280
1;2788;2010;291
1;4773;2010;290
1;21945;2010;278
1;6545;2010;293
1;392;2016;288
1;22515;2016;277
1;22515;2016;278
1;9314;2016;280
