max_total;sum_total;vuosi;ASTA_ID
1;2243;2009;0
1;2285;2015;0
1;2293;2017;0
1;2286;2020;0
1;2922;2009;3
1;1496;2009;1
1;274;2009;2
1;2874;2015;3
1;1490;2015;1
1;273;2015;2
1;2926;2017;3
1;1496;2017;1
1;274;2017;2
1;2926;2020;3
1;1496;2020;1
1;274;2020;2
1;3543;2009;11
1;935;2009;5
1;935;2009;4
1;401;2009;7
1;1304;2009;9
1;3543;2009;10
1;401;2009;6
1;1304;2009;8
1;3610;2015;11
1;951;2015;5
1;951;2015;4
1;402;2015;7
1;1328;2015;9
1;3610;2015;10
1;402;2015;6
1;1328;2015;8
1;3617;2017;11
1;953;2017;5
1;953;2017;4
1;402;2017;7
1;1328;2017;9
1;3617;2017;10
1;402;2017;6
1;1328;2017;8
1;3583;2020;11
1;942;2020;5
1;942;2020;4
1;400;2020;7
1;1325;2020;9
1;3583;2020;10
1;400;2020;6
1;1325;2020;8
1;2253;2009;12
1;2296;2017;12
1;2231;2020;12
1;520;2009;13
1;523;2017;13
1;522;2020;13
1;1509;2009;22
1;1766;2009;18
1;818;2009;14
1;1509;2009;21
1;1509;2009;19
1;1124;2009;16
1;1736;2009;17
1;1509;2009;20
1;1010;2009;15
1;1206;2015;16
1;770;2015;14
1;1032;2015;15
1;1509;2017;22
1;1847;2017;18
1;865;2017;14
1;1509;2017;21
1;1509;2017;19
1;1202;2017;16
1;1782;2017;17
1;1509;2017;20
1;1102;2017;15
1;1504;2020;22
1;1846;2020;18
1;841;2020;14
1;1504;2020;21
1;1504;2020;19
1;1178;2020;16
1;1747;2020;17
1;1504;2020;20
1;1086;2020;15
1;1768;2010;872
1;1768;2010;871
1;1768;2010;24
1;1768;2010;23
1;1701;2012;872
1;1701;2012;871
1;1701;2012;24
1;1701;2012;23
;;2018;872
;;2018;871
;;2018;24
;;2018;23
1;2251;2010;960
1;10327;2010;26
1;10327;2010;956
1;2251;2010;959
1;10327;2010;27
1;10327;2010;25
1;2251;2010;958
1;10327;2010;955
1;10327;2010;957
1;2215;2012;960
1;10167;2012;26
1;10167;2012;956
1;2215;2012;959
1;10167;2012;27
1;10167;2012;25
1;2215;2012;958
1;10167;2012;955
1;10167;2012;957
1;2240;2013;960
1;10215;2013;26
1;10215;2013;956
1;2240;2013;959
1;10215;2013;27
1;10215;2013;25
1;2240;2013;958
1;10215;2013;955
1;10215;2013;957
1;2250;2017;960
1;10345;2017;26
1;10345;2017;956
1;2250;2017;959
1;10345;2017;27
1;10345;2017;25
1;2250;2017;958
1;10345;2017;955
1;10345;2017;957
1;2250;2020;960
1;10278;2020;26
1;10278;2020;956
1;2250;2020;959
1;10278;2020;27
1;10278;2020;25
1;2250;2020;958
1;10278;2020;955
1;10278;2020;957
;;2021;960
;;2021;26
;;2021;956
;;2021;959
;;2021;27
;;2021;25
