ASTA_ID;post_raster_id;vuosi;5m_sum;sum_total;Canopy _percent
28;9632;2020;2582;3253;79.3728865662465
28;9633;2021;;;0
29;9593;2010;1341;1774;75.5918827508455
29;9600;2012;1173;1787;65.6407386681589
29;9607;2013;1305;1782;73.2323232323232
29;9614;2020;1403;1735;80.864553314121
29;9621;2021;;;0
30;9634;2012;2389;5875;40.663829787234
30;9635;2014;2262;6159;36.7267413541159
30;9636;2017;3000;6193;48.4417891167447
30;9637;2018;;;0
31;9638;2013;238;265;89.811320754717
31;9639;2018;253;268;94.4029850746269
32;9643;2012;890;1041;85.4947166186359
32;9650;2014;858;1036;82.8185328185328
33;9645;2012;3412;6521;52.3232633031744
33;9652;2014;3172;6439;49.262307811772
34;9646;2012;3412;6521;52.3232633031744
34;9653;2014;3172;6439;49.262307811772
35;9644;2012;3412;6521;52.3232633031744
35;9651;2014;3172;6439;49.262307811772
36;9657;2012;3806;6839;55.6514110250037
36;9663;2014;3244;5774;56.1828888119155
36;9669;2018;;;0
37;9656;2012;3806;6839;55.6514110250037
37;9662;2014;3244;5774;56.1828888119155
37;9668;2018;;;0
38;9655;2012;1136;1243;91.3917940466613
38;9661;2014;1183;1249;94.7157726180945
38;9667;2018;;;0
39;9658;2012;1136;1243;91.3917940466613
39;9664;2014;1183;1249;94.7157726180945
39;9670;2018;;;0
40;9659;2012;560;1109;50.4959422903517
40;9665;2014;672;1107;60.7046070460705
40;9671;2018;;;0
41;9654;2012;338;629;53.7360890302067
41;9660;2014;399;643;62.0528771384137
41;9666;2018;;;0
42;9673;2012;1417;3139;45.1417648932781
42;9679;2014;1270;3608;35.19955654102
43;9677;2012;667;676;98.6686390532544
43;9683;2014;646;736;87.7717391304348
44;9641;2012;1197;9420;12.7070063694268
44;9648;2014;1094;11919;9.17862236764829
44;9674;2012;1621;4572;35.4549431321085
44;9680;2014;1434;5172;27.7262180974478
45;9642;2012;1197;9420;12.7070063694268
45;9649;2014;1094;11919;9.17862236764829
45;9675;2012;1621;4572;35.4549431321085
45;9681;2014;1434;5172;27.7262180974478
46;9640;2012;406;445;91.2359550561798
46;9647;2014;394;440;89.5454545454545
46;9676;2012;253;289;87.5432525951557
46;9682;2014;232;298;77.8523489932886
46;9684;2013;68;106;64.1509433962264
46;9686;2013;149;173;86.1271676300578
47;9672;2012;280;329;85.1063829787234
47;9678;2014;252;378;66.6666666666667
47;9685;2013;253;287;88.1533101045296
48;9687;2012;2401;4717;50.9009963960144
48;9688;2013;2235;5026;44.4687624353363
48;9689;2014;2195;5078;43.2256794013391
48;9690;2018;;;0
49;9692;2012;3600;11355;31.7040951122853
49;9694;2013;3620;11779;30.7326598183207
49;9696;2014;;;0
49;9698;2015;;;0
50;9699;2012;161;892;18.0493273542601
50;9700;2014;145;1084;13.3763837638376
50;9701;2015;;;0
50;9702;2021;;;0
51;9691;2012;3198;4125;77.5272727272727
51;9693;2013;2028;4136;49.0328820116054
51;9695;2014;;;0
51;9697;2015;;;0
52;9704;2011;247;501;49.3013972055888
52;9706;2013;;;0
52;9708;2018;409;510;80.1960784313725
53;9703;2011;2150;5877;36.5832907946231
53;9705;2013;;;0
53;9707;2018;3271;5806;56.338270754392
54;9711;2012;1358;1373;98.9075018208303
54;9714;2013;1356;1373;98.761835396941
54;9717;2018;1374;1374;100
54;9720;2019;1373;1374;99.9272197962154
55;9722;2012;3145;8459;37.1793356188675
55;9724;2013;3264;9645;33.8413685847589
55;9726;2015;;;0
55;9728;2018;;;0
55;9730;2019;4240;9523;44.5237845216843
56;9721;2012;3145;8459;37.1793356188675
56;9723;2013;3264;9645;33.8413685847589
56;9725;2015;;;0
56;9727;2018;;;0
56;9729;2019;4240;9523;44.5237845216843
57;9733;2012;2878;3416;84.2505854800937
57;9738;2014;2981;3442;86.6066240557815
57;9743;2015;3068;3433;89.3678997960967
57;9748;2019;3194;3445;92.7140783744557
57;9753;2021;;;0
58;9732;2012;8448;9703;87.0658559208492
58;9737;2014;5803;9678;59.960735689192
58;9742;2015;6327;9720;65.0925925925926
58;9747;2019;6419;9592;66.9203502919099
58;9752;2021;;;0
58;9756;2012;395;429;92.0745920745921
58;9757;2013;380;431;88.1670533642691
58;9759;2013;5661;9670;58.5418821096174
58;9762;2014;389;428;90.8878504672897
58;9763;2015;413;431;95.8236658932715
58;9764;2019;421;429;98.1351981351981
59;9766;2013;1054;1850;56.972972972973
59;9768;2018;1428;1848;77.2727272727273
59;9770;2019;1380;1841;74.9592612710483
60;9765;2013;1644;2398;68.557130942452
60;9767;2018;1785;2394;74.5614035087719
60;9769;2019;1679;2380;70.546218487395
61;9776;2012;1202;1213;99.0931574608409
61;9784;2013;832;1208;68.8741721854305
61;9792;2015;;;0
61;9800;2018;903;1215;74.320987654321
61;9808;2019;876;1213;72.2176422093982
62;9774;2012;;4;0
62;9782;2013;;4;0
62;9790;2015;;;0
62;9798;2018;3;4;75
62;9806;2019;3;4;75
63;9812;2012;4068;10334;39.3652022450164
63;9814;2013;3857;10558;36.5315400644061
63;9816;2018;4587;9651;47.5287534970469
63;9818;2019;4661;10845;42.9783310281236
64;9811;2012;4068;10334;39.3652022450164
64;9813;2013;3857;10558;36.5315400644061
64;9815;2018;4587;9651;47.5287534970469
64;9817;2019;4661;10845;42.9783310281236
65;9820;2014;5569;10529;52.8920125368031
65;9822;2015;5662;10398;54.4527793806501
65;9824;2019;6459;10382;62.213446349451
65;9826;2021;;;0
66;9775;2012;1191;7303;16.308366424757
66;9783;2013;1067;7743;13.7801885574067
66;9791;2015;;;0
66;9799;2018;;;0
66;9807;2019;1284;7782;16.4996144949884
67;9777;2012;1191;7303;16.308366424757
67;9785;2013;1067;7743;13.7801885574067
67;9793;2015;;;0
67;9801;2018;;;0
67;9809;2019;1284;7782;16.4996144949884
68;9819;2014;6206;12126;51.1792841827478
68;9821;2015;3758;12064;31.1505305039788
68;9823;2019;5250;11920;44.0436241610738
68;9825;2021;;;0
69;9778;2012;9464;19360;48.8842975206612
69;9786;2013;8643;19359;44.6459011312568
69;9794;2015;;;0
69;9802;2018;;;0
69;9810;2019;3252;18849;17.2529046633774
70;9772;2012;9464;19360;48.8842975206612
70;9780;2013;8643;19359;44.6459011312568
70;9788;2015;;;0
70;9796;2018;;;0
70;9804;2019;3252;18849;17.2529046633774
71;9828;2008;1016;1667;60.9478104379124
71;9830;2018;1587;1732;91.6281755196305
71;9832;2021;1420;1725;82.3188405797101
72;9827;2008;8833;12348;71.5338516358925
72;9829;2018;9527;12294;77.4930860582398
72;9831;2021;8902;12344;72.1160077770577
73;9836;2009;4824;5800;83.1724137931034
73;9840;2013;2957;5795;51.0267471958585
73;9844;2021;2575;5815;44.2820292347377
74;9835;2009;2793;4125;67.7090909090909
74;9839;2013;2571;4216;60.9819734345351
74;9843;2021;2279;4247;53.6614080527431
75;9834;2009;;133;0
75;9838;2013;;133;0
75;9842;2021;;133;0
76;9833;2009;2754;3813;72.2265932336743
76;9837;2013;3242;3809;85.1142032029404
76;9841;2021;2672;3799;70.3342984996052
77;9846;2009;195;954;20.440251572327
77;9848;2013;374;965;38.7564766839378
77;9850;2021;404;965;41.8652849740933
78;9845;2009;1493;3281;45.504419384334
78;9847;2013;1718;3443;49.8983444670346
78;9849;2021;2011;3426;58.6981903093987
79;9851;2009;822;934;88.0085653104925
79;9852;2018;939;944;99.4703389830508
79;9853;2021;919;944;97.3516949152542
80;9855;2009;571;743;76.8506056527591
80;9857;2013;687;750;91.6
80;9859;2021;700;750;93.3333333333333
81;9854;2009;888;1057;84.0113528855251
81;9856;2013;1052;1059;99.3389990557129
81;9858;2021;224;1058;21.17202268431
82;9862;2009;105;613;17.1288743882545
82;9868;2018;167;605;27.603305785124
82;9874;2021;208;626;33.2268370607029
83;9865;2009;105;613;17.1288743882545
83;9871;2018;167;605;27.603305785124
83;9877;2021;208;626;33.2268370607029
84;9864;2009;105;613;17.1288743882545
84;9870;2018;167;605;27.603305785124
84;9876;2021;208;626;33.2268370607029
85;9863;2009;742;2917;25.4370929036682
85;9869;2018;1321;2992;44.1510695187166
85;9875;2021;2116;3012;70.2523240371846
86;9861;2009;742;2917;25.4370929036682
86;9867;2018;1321;2992;44.1510695187166
86;9873;2021;2116;3012;70.2523240371846
87;9860;2009;742;2917;25.4370929036682
87;9866;2018;1321;2992;44.1510695187166
87;9872;2021;2116;3012;70.2523240371846
88;9879;2009;8744;15834;55.2229379815587
88;9881;2013;9097;15962;56.9916050620223
88;9883;2021;8333;15970;52.1790857858485
89;9885;2009;792;1520;52.1052631578947
89;9888;2013;622;1594;39.021329987453
89;9891;2018;;;0
89;9894;2021;677;1598;42.3654568210263
90;9886;2009;792;1520;52.1052631578947
90;9889;2013;622;1594;39.021329987453
90;9892;2018;;;0
90;9895;2021;677;1598;42.3654568210263
91;9478;2009;509;1343;37.9002233804914
91;9486;2013;110;1397;7.8740157480315
91;9492;2021;727;1406;51.7069701280228
92;9897;2009;1803;6161;29.2647297516637
92;9899;2018;4691;6117;76.6879189145006
93;9878;2009;407;925;44
93;9880;2013;704;946;74.4186046511628
93;9882;2021;920;940;97.8723404255319
94;9896;2009;948;2123;44.6537918040509
94;9898;2018;1725;2164;79.7134935304991
95;9900;2009;630;1315;47.9087452471483
95;9901;2010;;;0
95;9902;2018;187;1251;14.9480415667466
95;9903;2021;214;1243;17.2164119066774
96;9905;2009;3996;5397;74.041133963313
96;9907;2018;2518;5038;49.9801508535133
96;9909;2021;;;0
97;9476;2009;2785;4975;55.9798994974874
97;9484;2013;683;5013;13.6245761021344
97;9490;2021;1684;5082;33.1365604092877
98;9475;2009;2785;4975;55.9798994974874
98;9483;2013;683;5013;13.6245761021344
98;9489;2021;1684;5082;33.1365604092877
99;9884;2009;1032;1851;55.7536466774716
99;9887;2013;1513;1869;80.9523809523809
99;9890;2018;;;0
99;9893;2021;1541;1882;81.8809776833156
100;9910;2009;;;0
100;9913;2010;54;2248;2.40213523131673
100;9916;2012;27;3609;0.748129675810474
100;9919;2013;31;2968;1.044474393531
100;9922;2021;71;3227;2.20018593120545
101;9912;2010;;;0
101;9915;2012;7781;13277;58.6051065752806
101;9918;2013;8999;13655;65.9025997803003
101;9921;2021;8978;13735;65.3658536585366
102;9911;2010;;;0
102;9914;2012;7781;13277;58.6051065752806
102;9917;2013;8999;13655;65.9025997803003
102;9920;2021;8978;13735;65.3658536585366
103;9923;2009;6516;9332;69.8242606086584
103;9924;2010;;;0
103;9925;2018;5398;9603;56.2116005414974
103;9926;2021;4782;9619;49.7141074955817
104;9928;2009;1321;1887;70.0052994170641
104;9932;2018;1536;1929;79.6267496111975
104;9936;2021;1475;1924;76.6632016632017
105;9930;2009;3731;3835;97.2881355932203
105;9934;2018;3585;3834;93.5054773082942
105;9938;2021;3459;3851;89.820825759543
106;9940;2009;2075;4470;46.420581655481
106;9942;2018;3487;4603;75.7549424288508
106;9944;2021;2658;4586;57.9590056694287
107;9939;2009;537;1165;46.0944206008584
107;9941;2018;865;1155;74.8917748917749
107;9943;2021;659;1088;60.5698529411765
107;9946;2009;2063;2605;79.193857965451
107;9948;2018;2102;2606;80.6600153491942
107;9950;2021;1773;2584;68.6145510835913
108;9952;2009;1131;2899;39.0134529147982
108;9963;2018;1763;2803;62.8968961826614
108;9974;2021;;;0
109;9987;2009;6060;7872;76.9817073170732
109;9997;2010;7028;7806;90.0333077120164
109;10007;2018;7191;7725;93.0873786407767
110;9991;2009;6060;7872;76.9817073170732
110;10001;2010;7028;7806;90.0333077120164
110;10011;2018;7191;7725;93.0873786407767
111;9985;2009;6376;7231;88.1759092794911
111;9995;2010;6617;7203;91.8645009024018
111;10005;2018;6517;7160;91.0195530726257
112;9986;2009;6376;7231;88.1759092794911
112;9996;2010;6617;7203;91.8645009024018
112;10006;2018;6517;7160;91.0195530726257
113;9988;2009;5818;6895;84.3799854967368
113;9998;2010;6124;6762;90.5649216208222
113;10008;2018;6111;6769;90.2792140641158
114;9992;2009;5818;6895;84.3799854967368
114;10002;2010;6124;6762;90.5649216208222
114;10012;2018;6111;6769;90.2792140641158
115;10015;2010;;;0
115;10017;2012;13;20;65
115;10019;2013;20;20;100
115;10021;2021;;;0
116;9990;2009;6432;7657;84.0015671934178
116;10000;2010;6827;7598;89.8525927875757
116;10010;2018;6673;7661;87.1035112909542
117;9993;2009;6432;7657;84.0015671934178
117;10003;2010;6827;7598;89.8525927875757
117;10013;2018;6673;7661;87.1035112909542
118;9945;2009;99;4556;2.1729587357331
118;9947;2018;1423;4467;31.8558316543542
118;9949;2021;;;0
119;9989;2009;313;501;62.4750499001996
119;9999;2010;368;500;73.6
119;10009;2018;386;502;76.8924302788845
120;9984;2009;2256;3775;59.7615894039735
120;9994;2010;2646;3749;70.5788210189384
120;10004;2018;2709;3763;71.9904331650279
121;10022;2009;398;1967;20.2338586680224
121;10023;2018;590;1965;30.0254452926209
121;10024;2021;;;0
122;9956;2009;177;1969;8.98933468765871
122;9967;2018;970;2074;46.7695274831244
122;9978;2021;;;0
122;10026;2010;236;2008;11.7529880478088
123;9960;2009;177;1969;8.98933468765871
123;9971;2018;970;2074;46.7695274831244
123;9982;2021;;;0
123;10028;2010;236;2008;11.7529880478088
124;9957;2009;3953;10712;36.9025392083645
124;9968;2018;9630;11225;85.7906458797327
124;9979;2021;;;0
124;10027;2010;4111;10884;37.7710400588019
125;9959;2009;3953;10712;36.9025392083645
125;9970;2018;9630;11225;85.7906458797327
125;9981;2021;;;0
125;10025;2010;4111;10884;37.7710400588019
126;10014;2010;5998;9655;62.1232522009322
126;10016;2012;5655;9534;59.3140339836375
126;10018;2013;6312;9610;65.681581685744
126;10020;2021;;;0
127;10031;2010;8186;9339;87.653924403041
127;10032;2012;8026;9327;86.0512490618634
127;10035;2013;8235;9316;88.3963074280807
127;10038;2018;;;0
128;10040;2010;1731;2001;86.5067466266866
128;10042;2012;2103;2369;88.7716336006754
128;10044;2013;2150;2370;90.7172995780591
